model,AIC,BIC
"SARIMA (1, 0, 3)(0, 0, 1)[12]",4860.589522,4881.165596
"SARIMA (1, 0, 3)(0, 0, 2)[12]",4850.660769,4874.666188
"SARIMA (1, 0, 3)(0, 0, 3)[12]",4838.062684,4865.49745
"SARIMA (1, 0, 3)(0, 1, 0)[12]",4555.141511,4572.017903
"SARIMA (1, 0, 3)(0, 1, 1)[12]",4489.256061,4509.507731
"SARIMA (1, 0, 3)(0, 1, 2)[12]",4491.254084,4514.881032
"SARIMA (1, 0, 3)(0, 1, 3)[12]",4492.582481,4519.584708
"SARIMA (1, 0, 3)(1, 0, 0)[12]",4827.35716,4847.933234
"SARIMA (1, 0, 3)(1, 0, 1)[12]",4768.452953,4792.458372
"SARIMA (1, 0, 3)(1, 0, 2)[12]",4805.524338,4832.959103
"SARIMA (1, 0, 3)(1, 0, 3)[12]",4807.704691,4838.568802
"SARIMA (1, 0, 3)(1, 1, 0)[12]",4520.367157,4540.618828
"SARIMA (1, 0, 3)(1, 1, 1)[12]",4491.255155,4514.882104
"SARIMA (1, 0, 3)(1, 1, 2)[12]",4490.459295,4517.461522
"SARIMA (1, 0, 3)(1, 1, 3)[12]",4490.525108,4520.902614
"SARIMA (1, 0, 3)(2, 0, 0)[12]",4818.020729,4842.026148
"SARIMA (1, 0, 3)(2, 0, 1)[12]",4805.425991,4832.860756
"SARIMA (1, 0, 3)(2, 0, 2)[12]",4806.292352,4837.156462
"SARIMA (1, 0, 3)(2, 0, 3)[12]",4806.763738,4841.057194
"SARIMA (1, 0, 3)(2, 1, 0)[12]",4496.640984,4520.267932
"SARIMA (1, 0, 3)(2, 1, 1)[12]",4492.452554,4519.454781
"SARIMA (1, 0, 3)(2, 1, 2)[12]",4489.891535,4520.269041
"SARIMA (1, 0, 3)(2, 1, 3)[12]",4489.817025,4523.569809
"SARIMA (1, 0, 3)(3, 0, 0)[12]",4810.615873,4838.050638
"SARIMA (1, 0, 3)(3, 0, 1)[12]",4807.881812,4838.745923
"SARIMA (1, 0, 3)(3, 0, 2)[12]",4758.131656,4792.425112
"SARIMA (1, 0, 3)(3, 0, 3)[12]",4809.243283,4846.966085
"SARIMA (1, 0, 3)(3, 1, 0)[12]",4497.080878,4524.083106
"SARIMA (1, 0, 3)(3, 1, 1)[12]",4492.06042,4522.437925
"SARIMA (1, 0, 3)(3, 1, 2)[12]",4490.998647,4524.751431
"SARIMA (1, 0, 3)(3, 1, 3)[12]",4492.538743,4529.666805
"SARIMA (1, 1, 0)(0, 0, 0)[12]",4936.644684,4943.494584
"SARIMA (1, 1, 0)(0, 0, 1)[12]",4877.38609,4887.66094
"SARIMA (1, 1, 0)(0, 0, 2)[12]",4869.002619,4882.702419
"SARIMA (1, 1, 0)(0, 0, 3)[12]",4854.264991,4871.389742
"SARIMA (1, 1, 0)(0, 1, 0)[12]",4593.838651,4600.579927
"SARIMA (1, 1, 0)(0, 1, 1)[12]",4484.765194,4494.877108
"SARIMA (1, 1, 0)(0, 1, 2)[12]",4515.460123,4528.942675
"SARIMA (1, 1, 0)(0, 1, 3)[12]",4515.985957,4532.839147
"SARIMA (1, 1, 0)(1, 0, 0)[12]",4816.619294,4826.894144
"SARIMA (1, 1, 0)(1, 0, 1)[12]",4746.798765,4760.498565
"SARIMA (1, 1, 0)(1, 0, 2)[12]",4821.527558,4838.652308
"SARIMA (1, 1, 0)(1, 0, 3)[12]",4822.451883,4843.001583
"SARIMA (1, 1, 0)(1, 1, 0)[12]",4551.729171,4561.841085
"SARIMA (1, 1, 0)(1, 1, 1)[12]",4515.503662,4528.986214
"SARIMA (1, 1, 0)(1, 1, 2)[12]",4481.309935,4498.163125
"SARIMA (1, 1, 0)(1, 1, 3)[12]",4513.88707,4534.110898
"SARIMA (1, 1, 0)(2, 0, 0)[12]",4836.423843,4850.123643
"SARIMA (1, 1, 0)(2, 0, 1)[12]",4821.530498,4838.655248
"SARIMA (1, 1, 0)(2, 0, 2)[12]",4822.036033,4842.585733
"SARIMA (1, 1, 0)(2, 0, 3)[12]",4822.975908,4846.950558
"SARIMA (1, 1, 0)(2, 1, 0)[12]",4521.940126,4535.422678
"SARIMA (1, 1, 0)(2, 1, 1)[12]",4515.652747,4532.505937
"SARIMA (1, 1, 0)(2, 1, 2)[12]",4513.317796,4533.541624
"SARIMA (1, 1, 0)(2, 1, 3)[12]",4513.911399,4537.505865
"SARIMA (1, 1, 0)(3, 0, 0)[12]",4826.023635,4843.148385
"SARIMA (1, 1, 0)(3, 0, 1)[12]",4822.702389,4843.252089
"SARIMA (1, 1, 0)(3, 0, 2)[12]",4822.885563,4846.860213
"SARIMA (1, 1, 0)(3, 0, 3)[12]",4823.62785,4851.02745
"SARIMA (1, 1, 0)(3, 1, 0)[12]",4521.015283,4537.868473
"SARIMA (1, 1, 0)(3, 1, 1)[12]",4516.203406,4536.427234
"SARIMA (1, 1, 0)(3, 1, 2)[12]",4515.105878,4538.700344
"SARIMA (1, 1, 0)(3, 1, 3)[12]",4516.599281,4543.564385
"SARIMA (1, 1, 1)(0, 0, 0)[12]",4930.311287,4940.586137
"SARIMA (1, 1, 1)(0, 0, 1)[12]",4874.073021,4887.772821
"SARIMA (1, 1, 1)(0, 0, 2)[12]",4865.572754,4882.697505
"SARIMA (1, 1, 1)(0, 0, 3)[12]",4854.005713,4874.555413
"SARIMA (1, 1, 1)(0, 1, 0)[12]",4546.780867,4556.892781
"SARIMA (1, 1, 1)(0, 1, 1)[12]",4449.37671,4462.859262
"SARIMA (1, 1, 1)(0, 1, 2)[12]",4494.058288,4510.911478
"SARIMA (1, 1, 1)(0, 1, 3)[12]",4451.018652,4471.24248
"SARIMA (1, 1, 1)(1, 0, 0)[12]",4846.832938,4860.532738
"SARIMA (1, 1, 1)(1, 0, 1)[12]",4804.134519,4821.259269
"SARIMA (1, 1, 1)(1, 0, 2)[12]",4806.126272,4826.675972
"SARIMA (1, 1, 1)(1, 0, 3)[12]",4807.674962,4831.649612
"SARIMA (1, 1, 1)(1, 1, 0)[12]",4518.430815,4531.913367
"SARIMA (1, 1, 1)(1, 1, 1)[12]",4450.716179,4467.569369
"SARIMA (1, 1, 1)(1, 1, 2)[12]",4444.850649,4465.074477
"SARIMA (1, 1, 1)(1, 1, 3)[12]",4493.576774,4517.17124
"SARIMA (1, 1, 1)(2, 0, 0)[12]",4777.804253,4794.929003
"SARIMA (1, 1, 1)(2, 0, 1)[12]",4774.920721,4795.470421
"SARIMA (1, 1, 1)(2, 0, 2)[12]",4806.887071,4830.861721
"SARIMA (1, 1, 1)(2, 0, 3)[12]",4808.404162,4835.803762
"SARIMA (1, 1, 1)(2, 1, 0)[12]",4461.462388,4478.315578
"SARIMA (1, 1, 1)(2, 1, 1)[12]",4494.705069,4514.928897
"SARIMA (1, 1, 1)(2, 1, 2)[12]",4493.085583,4516.68005
"SARIMA (1, 1, 1)(2, 1, 3)[12]",4453.650622,4480.615726
"SARIMA (1, 1, 1)(3, 0, 1)[12]",4807.797583,4831.772233
"SARIMA (1, 1, 1)(3, 0, 2)[12]",4808.312093,4835.711693
"SARIMA (1, 1, 1)(3, 0, 3)[12]",4812.160814,4842.985364
"SARIMA (1, 1, 1)(3, 1, 0)[12]",4498.123622,4518.34745
"SARIMA (1, 1, 1)(3, 1, 1)[12]",4495.500055,4519.094522
"SARIMA (1, 1, 1)(3, 1, 2)[12]",4494.830944,4521.796048
"SARIMA (1, 1, 1)(3, 1, 3)[12]",4495.186913,4525.522655
"SARIMA (1, 1, 2)(0, 0, 0)[12]",4882.992669,4896.692469
"SARIMA (1, 1, 2)(0, 0, 1)[12]",4805.846028,4822.970778
"SARIMA (1, 1, 2)(0, 0, 2)[12]",4822.683276,4843.232977
"SARIMA (1, 1, 2)(0, 0, 3)[12]",4803.51478,4827.48943
"SARIMA (1, 1, 2)(0, 1, 0)[12]",4538.673681,4552.156233
"SARIMA (1, 1, 2)(0, 1, 1)[12]",4447.99956,4464.85275
"SARIMA (1, 1, 2)(0, 1, 2)[12]",4480.751284,4500.975112
"SARIMA (1, 1, 2)(0, 1, 3)[12]",4481.857435,4505.451901
"SARIMA (1, 1, 2)(1, 0, 0)[12]",4755.471447,4772.596197
"SARIMA (1, 1, 2)(1, 0, 1)[12]",4786.247378,4806.797078
"SARIMA (1, 1, 2)(1, 0, 2)[12]",4802.316753,4826.291403
"SARIMA (1, 1, 2)(1, 0, 3)[12]",4789.785445,4817.185046
"SARIMA (1, 1, 2)(1, 1, 0)[12]",4507.859317,4524.712507
"SARIMA (1, 1, 2)(1, 1, 1)[12]",4480.752084,4500.975912
"SARIMA (1, 1, 2)(1, 1, 2)[12]",4479.897892,4503.492358
"SARIMA (1, 1, 2)(1, 1, 3)[12]",4480.260071,4507.225175
"SARIMA (1, 1, 2)(2, 0, 0)[12]",4797.748191,4818.297891
"SARIMA (1, 1, 2)(2, 0, 1)[12]",4788.147176,4812.121826
"SARIMA (1, 1, 2)(2, 0, 2)[12]",4788.725728,4816.125329
"SARIMA (1, 1, 2)(2, 0, 3)[12]",4790.460365,4821.284916
"SARIMA (1, 1, 2)(2, 1, 0)[12]",4485.93218,4506.156008
"SARIMA (1, 1, 2)(2, 1, 1)[12]",4481.830311,4505.424777
"SARIMA (1, 1, 2)(2, 1, 2)[12]",4479.730241,4506.695345
"SARIMA (1, 1, 2)(2, 1, 3)[12]",4450.922919,4481.258661
"SARIMA (1, 1, 2)(3, 0, 0)[12]",4791.827377,4815.802028
"SARIMA (1, 1, 2)(3, 0, 1)[12]",4789.901436,4817.301036
"SARIMA (1, 1, 2)(3, 0, 2)[12]",4790.405116,4821.229666
"SARIMA (1, 1, 2)(3, 0, 3)[12]",4791.458442,4825.707942
"SARIMA (1, 1, 2)(3, 1, 0)[12]",4486.377294,4509.97176
"SARIMA (1, 1, 2)(3, 1, 1)[12]",4482.167413,4509.132518
"SARIMA (1, 1, 2)(3, 1, 2)[12]",4456.873099,4487.208841
"SARIMA (1, 1, 2)(3, 1, 3)[12]",4482.908932,4516.615312
"SARIMA (1, 1, 3)(0, 0, 0)[12]",4876.401753,4893.526503
"SARIMA (1, 1, 3)(0, 0, 1)[12]",4823.637602,4844.187303
"SARIMA (1, 1, 3)(0, 0, 2)[12]",4814.727881,4838.702531
"SARIMA (1, 1, 3)(0, 0, 3)[12]",4802.968485,4830.368085
"SARIMA (1, 1, 3)(0, 1, 0)[12]",4541.760344,4558.613534
"SARIMA (1, 1, 3)(0, 1, 1)[12]",4480.330311,4500.554139
"SARIMA (1, 1, 3)(0, 1, 2)[12]",4482.319604,4505.91407
"SARIMA (1, 1, 3)(0, 1, 3)[12]",4483.390112,4510.355216
"SARIMA (1, 1, 3)(1, 0, 0)[12]",4795.503965,4816.053666
"SARIMA (1, 1, 3)(1, 0, 1)[12]",4773.877538,4797.852188
"SARIMA (1, 1, 3)(1, 0, 2)[12]",4775.761893,4803.161493
"SARIMA (1, 1, 3)(1, 0, 3)[12]",4777.363628,4808.188178
"SARIMA (1, 1, 3)(1, 1, 0)[12]",4509.457249,4529.681077
"SARIMA (1, 1, 3)(1, 1, 1)[12]",4482.321762,4505.916228
"SARIMA (1, 1, 3)(1, 1, 2)[12]",4481.490923,4508.456028
"SARIMA (1, 1, 3)(1, 1, 3)[12]",4481.75381,4512.089552
"SARIMA (1, 1, 3)(2, 0, 0)[12]",4736.359487,4760.334137
"SARIMA (1, 1, 3)(2, 0, 1)[12]",4775.774868,4803.174468
"SARIMA (1, 1, 3)(2, 0, 2)[12]",4776.175268,4806.999818
"SARIMA (1, 1, 3)(2, 0, 3)[12]",4777.859573,4812.109073
"SARIMA (1, 1, 3)(2, 1, 0)[12]",4487.502113,4511.096579
"SARIMA (1, 1, 3)(2, 1, 1)[12]",4483.317511,4510.282615
"SARIMA (1, 1, 3)(2, 1, 2)[12]",4481.193379,4511.529122
"SARIMA (1, 1, 3)(2, 1, 3)[12]",4481.447992,4515.154372
"SARIMA (1, 1, 3)(3, 0, 0)[12]",4779.952758,4807.352358
"SARIMA (1, 1, 3)(3, 0, 1)[12]",4777.537769,4808.362319
"SARIMA (1, 1, 3)(3, 0, 2)[12]",4777.768403,4812.017903
"SARIMA (1, 1, 3)(3, 0, 3)[12]",4778.606378,4816.280828
"SARIMA (1, 1, 3)(3, 1, 0)[12]",4487.88515,4514.850254
"SARIMA (1, 1, 3)(3, 1, 1)[12]",4483.624622,4513.960364
"SARIMA (1, 1, 3)(3, 1, 2)[12]",4482.662055,4516.368435
"SARIMA (1, 1, 3)(3, 1, 3)[12]",4484.399106,4521.476124
"SARIMA (2, 0, 0)(0, 0, 0)[12]",4917.659391,4927.947428
"SARIMA (2, 0, 0)(0, 0, 1)[12]",4857.477087,4871.19447
"SARIMA (2, 0, 0)(0, 0, 2)[12]",4848.258633,4865.405361
"SARIMA (2, 0, 0)(0, 0, 3)[12]",4833.664926,4854.241
"SARIMA (2, 0, 0)(0, 1, 0)[12]",4553.942426,4564.068261
"SARIMA (2, 0, 0)(0, 1, 1)[12]",4463.454236,4476.95535
"SARIMA (2, 0, 0)(0, 1, 2)[12]",4485.790895,4502.667287
"SARIMA (2, 0, 0)(0, 1, 3)[12]",4487.119649,4507.371319
"SARIMA (2, 0, 0)(1, 0, 0)[12]",4823.494163,4837.211546
"SARIMA (2, 0, 0)(1, 0, 1)[12]",4713.708565,4730.855293
"SARIMA (2, 0, 0)(1, 0, 2)[12]",4800.303928,4820.880002
"SARIMA (2, 0, 0)(1, 0, 3)[12]",4801.793777,4825.799196
"SARIMA (2, 0, 0)(1, 1, 0)[12]",4515.878394,4529.379507
"SARIMA (2, 0, 0)(1, 1, 1)[12]",4485.798583,4502.674975
"SARIMA (2, 0, 0)(1, 1, 2)[12]",4484.261637,4504.513308
"SARIMA (2, 0, 0)(1, 1, 3)[12]",4485.063777,4508.690726
"SARIMA (2, 0, 0)(2, 0, 0)[12]",4812.866782,4830.01351
"SARIMA (2, 0, 0)(2, 0, 1)[12]",4715.09236,4735.668434
"SARIMA (2, 0, 0)(2, 0, 2)[12]",4800.774016,4824.779435
"SARIMA (2, 0, 0)(2, 0, 3)[12]",4802.388427,4829.823192
"SARIMA (2, 0, 0)(2, 1, 0)[12]",4491.14388,4508.020272
"SARIMA (2, 0, 0)(2, 1, 1)[12]",4487.141777,4507.393448
"SARIMA (2, 0, 0)(2, 1, 2)[12]",4484.533276,4508.160225
"SARIMA (2, 0, 0)(2, 1, 3)[12]",4467.767344,4494.769571
"SARIMA (2, 0, 0)(3, 0, 0)[12]",4804.768238,4825.344312
"SARIMA (2, 0, 0)(3, 0, 1)[12]",4801.984431,4825.98985
"SARIMA (2, 0, 0)(3, 0, 2)[12]",4802.309167,4829.743932
"SARIMA (2, 0, 0)(3, 0, 3)[12]",4803.097549,4833.961659
"SARIMA (2, 0, 0)(3, 1, 0)[12]",4491.644315,4511.895986
"SARIMA (2, 0, 0)(3, 1, 1)[12]",4486.626061,4510.25301
"SARIMA (2, 0, 0)(3, 1, 2)[12]",4485.475065,4512.477292
"SARIMA (2, 0, 0)(3, 1, 3)[12]",4486.014374,4516.39188
"SARIMA (2, 0, 1)(0, 0, 0)[12]",4917.213706,4930.931089
"SARIMA (2, 0, 1)(0, 0, 1)[12]",4857.646999,4874.793727
"SARIMA (2, 0, 1)(0, 0, 2)[12]",4847.354948,4867.931022
"SARIMA (2, 0, 1)(0, 0, 3)[12]",4834.45267,4858.45809
"SARIMA (2, 0, 1)(0, 1, 0)[12]",4553.015096,4566.51621
"SARIMA (2, 0, 1)(0, 1, 1)[12]",4485.864347,4502.740739
"SARIMA (2, 0, 1)(0, 1, 2)[12]",4466.291437,4486.543107
"SARIMA (2, 0, 1)(0, 1, 3)[12]",4489.161843,4512.788792
"SARIMA (2, 0, 1)(1, 0, 0)[12]",4823.59133,4840.738058
"SARIMA (2, 0, 1)(1, 0, 1)[12]",4717.443385,4738.019459
"SARIMA (2, 0, 1)(1, 0, 2)[12]",4719.172667,4743.178086
"SARIMA (2, 0, 1)(1, 0, 3)[12]",4803.439188,4830.873953
"SARIMA (2, 0, 1)(1, 1, 0)[12]",4517.269719,4534.146111
"SARIMA (2, 0, 1)(1, 1, 1)[12]",4487.805572,4508.057242
"SARIMA (2, 0, 1)(1, 1, 2)[12]",4486.274486,4509.901435
"SARIMA (2, 0, 1)(1, 1, 3)[12]",4487.137714,4514.139941
"SARIMA (2, 0, 1)(2, 0, 0)[12]",4814.039685,4834.615759
"SARIMA (2, 0, 1)(2, 0, 1)[12]",4801.9228,4825.92822
"SARIMA (2, 0, 1)(2, 0, 2)[12]",4730.929259,4758.364024
"SARIMA (2, 0, 1)(2, 0, 3)[12]",4725.071848,4755.935958
"SARIMA (2, 0, 1)(2, 1, 0)[12]",4493.211315,4513.462986
"SARIMA (2, 0, 1)(2, 1, 1)[12]",4489.206453,4512.833402
"SARIMA (2, 0, 1)(2, 1, 2)[12]",4486.612712,4513.614939
"SARIMA (2, 0, 1)(2, 1, 3)[12]",4486.158977,4516.536482
"SARIMA (2, 0, 1)(3, 0, 0)[12]",4806.454252,4830.459671
"SARIMA (2, 0, 1)(3, 0, 1)[12]",4803.625885,4831.06065
"SARIMA (2, 0, 1)(3, 0, 2)[12]",4803.971697,4834.835808
"SARIMA (2, 0, 1)(3, 0, 3)[12]",4804.89886,4839.192317
"SARIMA (2, 0, 1)(3, 1, 0)[12]",4493.712024,4517.338973
"SARIMA (2, 0, 1)(3, 1, 1)[12]",4488.704059,4515.706286
"SARIMA (2, 0, 1)(3, 1, 2)[12]",4487.545348,4517.922854
"SARIMA (2, 0, 1)(3, 1, 3)[12]",4488.140352,4521.893136
"SARIMA (2, 0, 2)(0, 0, 0)[12]",4919.153507,4936.300235
"SARIMA (2, 0, 2)(0, 0, 1)[12]",4858.990652,4879.566725
"SARIMA (2, 0, 2)(0, 0, 2)[12]",4848.612814,4872.618233
"SARIMA (2, 0, 2)(0, 0, 3)[12]",4835.581627,4863.016392
"SARIMA (2, 0, 2)(0, 1, 0)[12]",4555.089786,4571.966178
"SARIMA (2, 0, 2)(0, 1, 1)[12]",4466.799427,4487.051098
"SARIMA (2, 0, 2)(0, 1, 2)[12]",4490.882373,4514.509322
"SARIMA (2, 0, 2)(0, 1, 3)[12]",4492.228274,4519.230501
"SARIMA (2, 0, 2)(1, 0, 0)[12]",4824.707572,4845.283645
"SARIMA (2, 0, 2)(1, 0, 1)[12]",4798.990648,4822.996067
"SARIMA (2, 0, 2)(1, 0, 2)[12]",4800.604358,4828.039123
"SARIMA (2, 0, 2)(1, 0, 3)[12]",4804.199365,4835.063475
"SARIMA (2, 0, 2)(1, 1, 0)[12]",4519.783202,4540.034872
"SARIMA (2, 0, 2)(1, 1, 1)[12]",4489.527557,4513.154506
"SARIMA (2, 0, 2)(1, 1, 2)[12]",4488.922503,4515.92473
"SARIMA (2, 0, 2)(1, 1, 3)[12]",4489.620709,4519.998215
"SARIMA (2, 0, 2)(2, 0, 0)[12]",4811.54113,4835.54655
"SARIMA (2, 0, 2)(2, 0, 1)[12]",4801.167273,4828.602038
"SARIMA (2, 0, 2)(2, 0, 2)[12]",4801.539693,4832.403804
"SARIMA (2, 0, 2)(2, 0, 3)[12]",4804.788267,4839.081723
"SARIMA (2, 0, 2)(2, 1, 0)[12]",4495.653658,4519.280606
"SARIMA (2, 0, 2)(2, 1, 1)[12]",4491.413548,4518.415775
"SARIMA (2, 0, 2)(2, 1, 2)[12]",4489.088309,4519.465815
"SARIMA (2, 0, 2)(2, 1, 3)[12]",4488.814777,4522.567561
"SARIMA (2, 0, 2)(3, 0, 0)[12]",4807.274359,4834.709124
"SARIMA (2, 0, 2)(3, 0, 1)[12]",4803.184724,4834.048835
"SARIMA (2, 0, 2)(3, 0, 2)[12]",4804.712723,4839.006179
"SARIMA (2, 0, 2)(3, 0, 3)[12]",4805.609066,4843.331868
"SARIMA (2, 0, 2)(3, 1, 0)[12]",4496.063903,4523.06613
"SARIMA (2, 0, 2)(3, 1, 1)[12]",4491.039937,4521.417443
"SARIMA (2, 0, 2)(3, 1, 2)[12]",4490.728741,4524.481526
"SARIMA (2, 0, 2)(3, 1, 3)[12]",4490.827996,4527.956059
"SARIMA (2, 0, 3)(0, 0, 0)[12]",4921.146263,4941.722336
"SARIMA (2, 0, 3)(0, 0, 1)[12]",4859.998052,4884.003471
"SARIMA (2, 0, 3)(0, 0, 2)[12]",4849.606157,4877.040922
"SARIMA (2, 0, 3)(0, 0, 3)[12]",4836.354925,4867.219036
"SARIMA (2, 0, 3)(0, 1, 0)[12]",4557.133464,4577.385134
"SARIMA (2, 0, 3)(0, 1, 1)[12]",4490.690907,4514.317856
"SARIMA (2, 0, 3)(0, 1, 2)[12]",4492.646615,4519.648842
"SARIMA (2, 0, 3)(0, 1, 3)[12]",4494.139048,4524.516554
"SARIMA (2, 0, 3)(1, 0, 0)[12]",4825.344524,4849.349943
"SARIMA (2, 0, 3)(1, 0, 1)[12]",4799.568646,4827.003411
"SARIMA (2, 0, 3)(1, 0, 2)[12]",4801.31287,4832.17698
"SARIMA (2, 0, 3)(1, 0, 3)[12]",4803.439505,4837.732962
"SARIMA (2, 0, 3)(1, 1, 0)[12]",4521.916131,4545.54308
"SARIMA (2, 0, 3)(1, 1, 1)[12]",4492.652879,4519.655106
"SARIMA (2, 0, 3)(1, 1, 2)[12]",4476.353006,4506.730512
"SARIMA (2, 0, 3)(1, 1, 3)[12]",4492.500865,4526.253649
"SARIMA (2, 0, 3)(2, 0, 0)[12]",4815.499877,4842.934642
"SARIMA (2, 0, 3)(2, 0, 1)[12]",4803.008171,4833.872282
"SARIMA (2, 0, 3)(2, 0, 2)[12]",4803.444532,4837.737989
"SARIMA (2, 0, 3)(2, 0, 3)[12]",4804.400325,4842.123127
"SARIMA (2, 0, 3)(2, 1, 0)[12]",4498.50168,4525.503907
"SARIMA (2, 0, 3)(2, 1, 1)[12]",4494.172848,4524.550354
"SARIMA (2, 0, 3)(2, 1, 2)[12]",4492.016028,4525.768812
"SARIMA (2, 0, 3)(2, 1, 3)[12]",4491.741065,4528.869127
"SARIMA (2, 0, 3)(3, 0, 0)[12]",4807.668112,4838.532223
"SARIMA (2, 0, 3)(3, 0, 1)[12]",4804.711401,4839.004858
"SARIMA (2, 0, 3)(3, 0, 2)[12]",4803.923625,4841.646427
"SARIMA (2, 0, 3)(3, 0, 3)[12]",4805.900176,4847.052323
"SARIMA (2, 0, 3)(3, 1, 0)[12]",4498.919365,4529.296871
"SARIMA (2, 0, 3)(3, 1, 1)[12]",4493.942555,4527.695339
"SARIMA (2, 0, 3)(3, 1, 2)[12]",4493.046139,4530.174202
"SARIMA (2, 0, 3)(3, 1, 3)[12]",4494.087902,4534.591243
"SARIMA (2, 1, 0)(0, 0, 0)[12]",4922.754059,4933.028909
"SARIMA (2, 1, 0)(0, 0, 1)[12]",4864.639858,4878.339658
"SARIMA (2, 1, 0)(0, 0, 2)[12]",4854.500984,4871.625734
"SARIMA (2, 1, 0)(0, 0, 3)[12]",4842.137221,4862.686921
"SARIMA (2, 1, 0)(0, 1, 0)[12]",4572.376317,4582.488231
"SARIMA (2, 1, 0)(0, 1, 1)[12]",4500.845976,4514.328528
"SARIMA (2, 1, 0)(0, 1, 2)[12]",4502.816772,4519.669962
"SARIMA (2, 1, 0)(0, 1, 3)[12]",4504.143359,4524.367188
"SARIMA (2, 1, 0)(1, 0, 0)[12]",4832.700661,4846.400461
"SARIMA (2, 1, 0)(1, 0, 1)[12]",4808.532238,4825.656988
"SARIMA (2, 1, 0)(1, 0, 2)[12]",4810.445389,4830.995089
"SARIMA (2, 1, 0)(1, 0, 3)[12]",4811.928692,4835.903342
"SARIMA (2, 1, 0)(1, 1, 0)[12]",4535.020088,4548.50264
"SARIMA (2, 1, 0)(1, 1, 1)[12]",4502.821464,4519.674654
"SARIMA (2, 1, 0)(1, 1, 2)[12]",4501.406294,4521.630122
"SARIMA (2, 1, 0)(1, 1, 3)[12]",4502.135549,4525.730015
"SARIMA (2, 1, 0)(2, 0, 0)[12]",4823.139056,4840.263806
"SARIMA (2, 1, 0)(2, 0, 1)[12]",4802.521127,4823.070827
"SARIMA (2, 1, 0)(2, 0, 2)[12]",4810.918507,4834.893157
"SARIMA (2, 1, 0)(2, 0, 3)[12]",4812.539373,4839.938973
"SARIMA (2, 1, 0)(2, 1, 0)[12]",4510.636801,4527.489991
"SARIMA (2, 1, 0)(2, 1, 1)[12]",4504.190928,4524.414756
"SARIMA (2, 1, 0)(2, 1, 2)[12]",4501.649833,4525.244299
"SARIMA (2, 1, 0)(2, 1, 3)[12]",4500.975944,4527.941049
"SARIMA (2, 1, 0)(3, 0, 0)[12]",4815.664399,4836.214099
"SARIMA (2, 1, 0)(3, 0, 1)[12]",4812.128285,4836.102935
"SARIMA (2, 1, 0)(3, 0, 2)[12]",4812.472182,4839.871782
"SARIMA (2, 1, 0)(3, 0, 3)[12]",4813.363658,4844.188208
"SARIMA (2, 1, 0)(3, 1, 0)[12]",4510.292626,4530.516454
"SARIMA (2, 1, 0)(3, 1, 1)[12]",4504.305606,4527.900072
"SARIMA (2, 1, 0)(3, 1, 2)[12]",4502.830323,4529.795427
"SARIMA (2, 1, 0)(3, 1, 3)[12]",4504.609341,4534.945084
"SARIMA (2, 1, 1)(0, 0, 0)[12]",4872.53871,4886.23851
"SARIMA (2, 1, 1)(0, 0, 1)[12]",4800.270403,4817.395154
"SARIMA (2, 1, 1)(0, 0, 2)[12]",4826.987349,4847.537049
"SARIMA (2, 1, 1)(0, 0, 3)[12]",4817.249741,4841.224391
"SARIMA (2, 1, 1)(0, 1, 0)[12]",4541.538304,4555.020856
"SARIMA (2, 1, 1)(0, 1, 1)[12]",4483.509532,4500.362722
"SARIMA (2, 1, 1)(0, 1, 2)[12]",4451.32171,4471.545538
"SARIMA (2, 1, 1)(0, 1, 3)[12]",4450.637293,4474.231759
"SARIMA (2, 1, 1)(1, 0, 0)[12]",4756.537429,4773.662179
"SARIMA (2, 1, 1)(1, 0, 1)[12]",4780.655084,4801.204784
"SARIMA (2, 1, 1)(1, 0, 2)[12]",4795.439039,4819.413689
"SARIMA (2, 1, 1)(1, 0, 3)[12]",4797.077732,4824.477332
"SARIMA (2, 1, 1)(1, 1, 0)[12]",4511.560744,4528.413934
"SARIMA (2, 1, 1)(1, 1, 1)[12]",4485.495838,4505.719666
"SARIMA (2, 1, 1)(1, 1, 2)[12]",4443.972493,4467.566959
"SARIMA (2, 1, 1)(1, 1, 3)[12]",4452.147567,4479.112672
"SARIMA (2, 1, 1)(2, 0, 0)[12]",4804.499203,4825.048903
"SARIMA (2, 1, 1)(2, 0, 1)[12]",4795.453932,4819.428582
"SARIMA (2, 1, 1)(2, 0, 2)[12]",4796.130241,4823.529842
"SARIMA (2, 1, 1)(2, 0, 3)[12]",4797.892295,4828.716845
"SARIMA (2, 1, 1)(2, 1, 0)[12]",4490.292011,4510.515839
"SARIMA (2, 1, 1)(2, 1, 1)[12]",4486.539232,4510.133698
"SARIMA (2, 1, 1)(2, 1, 2)[12]",4484.718841,4511.683945
"SARIMA (2, 1, 1)(2, 1, 3)[12]",4484.844639,4515.180382
"SARIMA (2, 1, 1)(3, 0, 1)[12]",4797.228311,4824.627911
"SARIMA (2, 1, 1)(3, 0, 2)[12]",4797.75871,4828.58326
"SARIMA (2, 1, 1)(3, 0, 3)[12]",4798.920575,4833.170075
"SARIMA (2, 1, 1)(3, 1, 0)[12]",4462.635503,4486.229969
"SARIMA (2, 1, 1)(3, 1, 1)[12]",4487.059354,4514.024458
"SARIMA (2, 1, 1)(3, 1, 2)[12]",4486.236287,4516.572029
"SARIMA (2, 1, 1)(3, 1, 3)[12]",4488.027798,4521.734179
