model,AIC,BIC
"SARIMA (0, 0, 2)(1, 1, 3)[12]",4489.369654,4512.996603
"SARIMA (0, 0, 2)(2, 0, 0)[12]",4865.771593,4882.918321
"SARIMA (0, 0, 2)(2, 0, 2)[12]",4783.470156,4807.475576
"SARIMA (0, 0, 2)(2, 0, 3)[12]",4728.38624,4755.821006
"SARIMA (0, 0, 2)(2, 1, 0)[12]",4493.957769,4510.834161
"SARIMA (0, 0, 2)(2, 1, 1)[12]",4491.34221,4511.593881
"SARIMA (0, 0, 2)(2, 1, 2)[12]",4488.806668,4512.433616
"SARIMA (0, 0, 2)(2, 1, 3)[12]",4466.788029,4493.790256
"SARIMA (0, 0, 2)(3, 0, 0)[12]",4861.680828,4882.256902
"SARIMA (0, 0, 2)(3, 0, 1)[12]",4860.697139,4884.702559
"SARIMA (0, 0, 2)(3, 0, 2)[12]",4861.769083,4889.203848
"SARIMA (0, 0, 2)(3, 0, 3)[12]",4863.179872,4894.043982
"SARIMA (0, 0, 2)(3, 1, 0)[12]",4494.847309,4515.098979
"SARIMA (0, 0, 2)(3, 1, 1)[12]",4490.477154,4514.104103
"SARIMA (0, 0, 2)(3, 1, 2)[12]",4489.499226,4516.501453
"SARIMA (0, 0, 2)(3, 1, 3)[12]",4491.302443,4521.679949
"SARIMA (0, 0, 3)(0, 0, 0)[12]",4931.182967,4944.90035
"SARIMA (0, 0, 3)(0, 0, 1)[12]",4877.705151,4894.851879
"SARIMA (0, 0, 3)(0, 0, 2)[12]",4869.358488,4889.934562
"SARIMA (0, 0, 3)(0, 0, 3)[12]",4858.720704,4882.726123
"SARIMA (0, 0, 3)(0, 1, 0)[12]",4553.155273,4566.656387
"SARIMA (0, 0, 3)(0, 1, 1)[12]",4488.683913,4505.560305
"SARIMA (0, 0, 3)(0, 1, 2)[12]",4490.587074,4510.838744
"SARIMA (0, 0, 3)(0, 1, 3)[12]",4491.919605,4515.546554
"SARIMA (0, 0, 3)(1, 0, 0)[12]",4786.40054,4803.547268
"SARIMA (0, 0, 3)(1, 0, 1)[12]",4798.130588,4818.706662
"SARIMA (0, 0, 3)(1, 0, 2)[12]",4718.288007,4742.293427
"SARIMA (0, 0, 3)(1, 0, 3)[12]",4834.188761,4861.623526
"SARIMA (0, 0, 3)(1, 1, 0)[12]",4518.627118,4535.50351
"SARIMA (0, 0, 3)(1, 1, 1)[12]",4490.602095,4510.853766
"SARIMA (0, 0, 3)(1, 1, 2)[12]",4466.784085,4490.411034
"SARIMA (0, 0, 3)(1, 1, 3)[12]",4490.021831,4517.024058
"SARIMA (0, 0, 3)(2, 0, 0)[12]",4762.190743,4782.766817
"SARIMA (0, 0, 3)(2, 0, 1)[12]",4832.585379,4856.590798
"SARIMA (0, 0, 3)(2, 0, 2)[12]",4715.987354,4743.422119
"SARIMA (0, 0, 3)(2, 0, 3)[12]",4835.16365,4866.027761
"SARIMA (0, 0, 3)(2, 1, 0)[12]",4495.334489,4515.58616
"SARIMA (0, 0, 3)(2, 1, 1)[12]",4491.994423,4515.621372
"SARIMA (0, 0, 3)(2, 1, 2)[12]",4489.511302,4516.513529
"SARIMA (0, 0, 3)(2, 1, 3)[12]",4476.032065,4506.40957
"SARIMA (0, 0, 3)(3, 0, 0)[12]",4836.021556,4860.026975
"SARIMA (0, 0, 3)(3, 0, 1)[12]",4834.344416,4861.779181
"SARIMA (0, 0, 3)(3, 0, 2)[12]",4835.119691,4865.983802
"SARIMA (0, 0, 3)(3, 0, 3)[12]",4836.345865,4870.639321
"SARIMA (0, 0, 3)(3, 1, 0)[12]",4495.994455,4519.621404
"SARIMA (0, 0, 3)(3, 1, 1)[12]",4491.45739,4518.459618
"SARIMA (0, 0, 3)(3, 1, 2)[12]",4490.442054,4520.81956
"SARIMA (0, 0, 3)(3, 1, 3)[12]",4492.453041,4526.205825
"SARIMA (0, 1, 0)(0, 0, 0)[12]",4951.71155,4955.1365
"SARIMA (0, 1, 0)(0, 0, 1)[12]",4888.731155,4895.581055
"SARIMA (0, 1, 0)(0, 0, 2)[12]",4887.134809,4897.409659
"SARIMA (0, 1, 0)(0, 0, 3)[12]",4870.07295,4883.77275
"SARIMA (0, 1, 0)(0, 1, 0)[12]",4593.397358,4596.767996
"SARIMA (0, 1, 0)(0, 1, 1)[12]",4487.606082,4494.347358
"SARIMA (0, 1, 0)(0, 1, 2)[12]",4488.946859,4499.058773
"SARIMA (0, 1, 0)(0, 1, 3)[12]",4512.676153,4526.158705
"SARIMA (0, 1, 0)(1, 0, 0)[12]",4814.65557,4821.50547
"SARIMA (0, 1, 0)(1, 0, 1)[12]",4758.442409,4768.717259
"SARIMA (0, 1, 0)(1, 0, 2)[12]",4763.93936,4777.63916
"SARIMA (0, 1, 0)(1, 0, 3)[12]",4773.754299,4790.879049
"SARIMA (0, 1, 0)(1, 1, 0)[12]",4547.903619,4554.644895
"SARIMA (0, 1, 0)(1, 1, 1)[12]",4505.355138,4515.467052
"SARIMA (0, 1, 0)(1, 1, 2)[12]",4485.757099,4499.239651
"SARIMA (0, 1, 0)(1, 1, 3)[12]",4495.854336,4512.707526
"SARIMA (0, 1, 0)(2, 0, 0)[12]",4791.174448,4801.449298
"SARIMA (0, 1, 0)(2, 0, 1)[12]",4750.118094,4763.817894
"SARIMA (0, 1, 0)(2, 0, 2)[12]",4753.587115,4770.711865
"SARIMA (0, 1, 0)(2, 0, 3)[12]",4760.07446,4780.62416
"SARIMA (0, 1, 0)(2, 1, 0)[12]",4509.273183,4519.385097
"SARIMA (0, 1, 0)(2, 1, 1)[12]",4498.303531,4511.786083
"SARIMA (0, 1, 0)(2, 1, 2)[12]",4494.214456,4511.067647
"SARIMA (0, 1, 0)(2, 1, 3)[12]",4484.429873,4504.653701
"SARIMA (0, 1, 0)(3, 0, 0)[12]",4765.316212,4779.016012
"SARIMA (0, 1, 0)(3, 0, 1)[12]",4752.884478,4770.009228
"SARIMA (0, 1, 0)(3, 0, 2)[12]",4751.489903,4772.039603
"SARIMA (0, 1, 0)(3, 0, 3)[12]",4750.996887,4774.971537
"SARIMA (0, 1, 0)(3, 1, 0)[12]",4507.572776,4521.055328
"SARIMA (0, 1, 0)(3, 1, 1)[12]",4495.914886,4512.768076
"SARIMA (0, 1, 0)(3, 1, 2)[12]",4494.366937,4514.590765
"SARIMA (0, 1, 0)(3, 1, 3)[12]",4488.326683,4511.921149
"SARIMA (0, 1, 1)(0, 0, 0)[12]",4928.756681,4935.606581
"SARIMA (0, 1, 1)(0, 0, 1)[12]",4874.550261,4884.825111
"SARIMA (0, 1, 1)(0, 0, 2)[12]",4867.04831,4880.74811
"SARIMA (0, 1, 1)(0, 0, 3)[12]",4854.09768,4871.22243
"SARIMA (0, 1, 1)(0, 1, 0)[12]",4591.355722,4598.096998
"SARIMA (0, 1, 1)(0, 1, 1)[12]",4480.992572,4491.104486
"SARIMA (0, 1, 1)(0, 1, 2)[12]",4513.230563,4526.713115
"SARIMA (0, 1, 1)(0, 1, 3)[12]",4513.710256,4530.563446
"SARIMA (0, 1, 1)(1, 0, 0)[12]",4847.621544,4857.896394
"SARIMA (0, 1, 1)(1, 0, 1)[12]",4819.141775,4832.841575
"SARIMA (0, 1, 1)(1, 0, 2)[12]",4807.100608,4824.225358
"SARIMA (0, 1, 1)(1, 0, 3)[12]",4822.133371,4842.683071
"SARIMA (0, 1, 1)(1, 1, 0)[12]",4547.145234,4557.257148
"SARIMA (0, 1, 1)(1, 1, 1)[12]",4482.895882,4496.378434
"SARIMA (0, 1, 1)(1, 1, 2)[12]",4477.852097,4494.705287
"SARIMA (0, 1, 1)(1, 1, 3)[12]",4511.205703,4531.429531
"SARIMA (0, 1, 1)(2, 0, 0)[12]",4836.308728,4850.008528
"SARIMA (0, 1, 1)(2, 0, 1)[12]",4821.105606,4838.230356
"SARIMA (0, 1, 1)(2, 0, 2)[12]",4743.356236,4763.905936
"SARIMA (0, 1, 1)(2, 0, 3)[12]",4822.487456,4846.462106
"SARIMA (0, 1, 1)(2, 1, 0)[12]",4517.442941,4530.925493
"SARIMA (0, 1, 1)(2, 1, 1)[12]",4513.177102,4530.030292
"SARIMA (0, 1, 1)(2, 1, 2)[12]",4510.544228,4530.768056
"SARIMA (0, 1, 1)(3, 0, 0)[12]",4825.400962,4842.525713
"SARIMA (0, 1, 1)(3, 0, 1)[12]",4763.912454,4784.462154
"SARIMA (0, 1, 1)(3, 0, 2)[12]",4822.358307,4846.332958
"SARIMA (0, 1, 1)(3, 0, 3)[12]",4773.96678,4801.36638
"SARIMA (0, 1, 1)(3, 1, 0)[12]",4517.233353,4534.086543
"SARIMA (0, 1, 1)(3, 1, 1)[12]",4513.619931,4533.843759
"SARIMA (0, 1, 1)(3, 1, 2)[12]",4512.337693,4535.932159
"SARIMA (0, 1, 1)(3, 1, 3)[12]",4513.743032,4540.708136
"SARIMA (0, 1, 2)(0, 0, 0)[12]",4929.546778,4939.821628
"SARIMA (0, 1, 2)(0, 0, 1)[12]",4831.120715,4844.820515
"SARIMA (0, 1, 2)(0, 0, 2)[12]",4843.361361,4860.486111
"SARIMA (0, 1, 2)(0, 0, 3)[12]",4778.859639,4799.409339
"SARIMA (0, 1, 2)(0, 1, 0)[12]",4544.259421,4554.371335
"SARIMA (0, 1, 2)(0, 1, 1)[12]",4482.753664,4496.236216
"SARIMA (0, 1, 2)(0, 1, 2)[12]",4484.752143,4501.605333
"SARIMA (0, 1, 2)(0, 1, 3)[12]",4486.258265,4506.482093
"SARIMA (0, 1, 2)(1, 0, 0)[12]",4764.487276,4778.187076
"SARIMA (0, 1, 2)(1, 0, 1)[12]",4791.283211,4808.407961
"SARIMA (0, 1, 2)(1, 0, 2)[12]",4707.89071,4728.44041
"SARIMA (0, 1, 2)(1, 0, 3)[12]",4809.312191,4833.286841
"SARIMA (0, 1, 2)(1, 1, 0)[12]",4503.97452,4517.457073
"SARIMA (0, 1, 2)(1, 1, 1)[12]",4484.752334,4501.605524
"SARIMA (0, 1, 2)(1, 1, 2)[12]",4483.564869,4503.788698
"SARIMA (0, 1, 2)(1, 1, 3)[12]",4454.479115,4478.073582
"SARIMA (0, 1, 2)(2, 0, 0)[12]",4742.025104,4759.149854
"SARIMA (0, 1, 2)(2, 1, 0)[12]",4489.993127,4506.846317
"SARIMA (0, 1, 2)(2, 1, 1)[12]",4486.245424,4506.469252
"SARIMA (0, 1, 2)(2, 1, 2)[12]",4483.537638,4507.132104
"SARIMA (0, 1, 2)(2, 1, 3)[12]",4469.514876,4496.47998
"SARIMA (0, 1, 2)(3, 0, 0)[12]",4810.644301,4831.194001
"SARIMA (0, 1, 2)(3, 0, 1)[12]",4715.084225,4739.058875
"SARIMA (0, 1, 2)(3, 0, 2)[12]",4748.055572,4775.455172
"SARIMA (0, 1, 2)(3, 0, 3)[12]",4810.717825,4841.542376
